33.1	7.98E+00	7.31E+00	4.68E+00	5.33E+00	4.95E+00	3.35E+00
41.1	8.00E+00	1.13E+01	1.49E+01	1.80E+01	1.62E+01	1.98E+01
38.8	7.99E+00	1.10E+01	9.77E+00	7.79E+00	5.79E+00	7.93E+00
24.3	7.94E+00	1.14E+01	1.39E+01	1.74E+01	1.01E+01	1.39E+01
15.7	7.86E+00	5.95E+00	4.40E+00	5.09E+00	5.31E+00	6.24E+00
15.9	7.74E+00	1.14E+01	1.41E+01	1.42E+01	8.19E+00	4.88E+00
16.2	7.59E+00	1.07E+01	6.16E+00	4.57E+00	3.15E+00	4.06E+00
16.7	7.42E+00	7.30E+00	8.14E+00	4.15E+00	3.83E+00	3.92E+00
38.4	7.22E+00	1.01E+01	6.66E+00	7.01E+00	8.85E+00	4.83E+00
31.4	7.00E+00	7.38E+00	7.26E+00	9.56E+00	1.08E+01	1.41E+01
15.3	6.77E+00	9.85E+00	1.35E+01	1.61E+01	9.41E+00	8.61E+00
6.54	6.52E+00	3.54E+00	3.33E+00	2.03E+00	2.29E+00	2.48E+00
23.9	6.26E+00	6.65E+00	6.97E+00	9.64E+00	1.42E+01	1.03E+01
38.6	6.00E+00	7.22E+00	6.94E+00	8.12E+00	5.16E+00	3.77E+00
14.9	5.72E+00	8.33E+00	4.58E+00	3.91E+00	4.05E+00	5.21E+00
9.78	5.45E+00	7.61E+00	1.12E+01	1.09E+01	6.80E+00	5.10E+00
6.21	5.18E+00	3.58E+00	3.72E+00	4.70E+00	5.73E+00	5.09E+00
24	4.91E+00	5.75E+00	6.58E+00	8.37E+00	9.86E+00	9.94E+00
14.6	4.64E+00	6.39E+00	5.33E+00	5.35E+00	4.00E+00	5.11E+00
0	4.38E+00	5.23E+00	3.99E+00	3.02E+00	4.48E+00	5.32E+00
69.2	4.13E+00	4.94E+00	6.47E+00	5.04E+00	6.13E+00	8.77E+00
72.1	3.89E+00	2.69E+00	3.95E+00	5.75E+00	3.61E+00	2.17E+00
52.5	3.66E+00	3.59E+00	3.17E+00	3.49E+00	4.67E+00	4.13E+00
55.7	3.44E+00	1.86E+00	1.42E+00	1.72E+00	1.06E+00	1.15E+00
55.7	3.23E+00	4.64E+00	6.92E+00	8.64E+00	9.51E+00	1.39E+01
48.7	3.03E+00	2.63E+00	1.57E+00	2.26E+00	2.20E+00	1.37E+00
46.9	2.84E+00	3.24E+00	4.63E+00	3.72E+00	1.87E+00	2.07E+00
48	2.67E+00	3.06E+00	2.75E+00	1.94E+00	1.14E+00	8.33E-01
54.1	2.50E+00	3.11E+00	3.01E+00	4.30E+00	3.27E+00	4.02E+00
45.4	2.34E+00	2.50E+00	1.65E+00	2.12E+00	2.86E+00	1.99E+00
42.1	2.19E+00	2.84E+00	1.70E+00	2.02E+00	1.63E+00	1.55E+00
49	2.05E+00	1.39E+00	1.84E+00	2.49E+00	2.58E+00	2.52E+00
