1	19.6	2.83E+00	3.31E+00	4.84E+00	2.98E+00	2.45E+00
2	64.4	2.63E+00	1.65E+00	2.32E+00	2.09E+00	1.12E+00
3	88.3	2.45E+00	2.51E+00	3.72E+00	2.57E+00	1.51E+00
4	78.9	2.28E+00	2.16E+00	2.03E+00	1.02E+00	1.13E+00
5	36.4	2.12E+00	2.54E+00	3.29E+00	4.92E+00	2.89E+00
6	15.2	2.00E+00	2.25E+00	1.29E+00	8.84E-01	7.01E-01
7	14	1.93E+00	1.03E+00	1.39E+00	1.89E+00	1.98E+00
8	14.7	1.88E+00	2.01E+00	2.61E+00	3.48E+00	4.83E+00
9	17.3	1.82E+00	1.49E+00	1.63E+00	1.49E+00	1.75E+00
10	24.9	1.80E+00	1.67E+00	2.18E+00	1.42E+00	1.90E+00
11	47.6	1.77E+00	1.88E+00	1.26E+00	9.89E-01	8.63E-01
12	100	1.74E+00	2.57E+00	3.50E+00	4.64E+00	6.25E+00
13	64.4	1.71E+00	1.01E+00	5.51E-01	7.45E-01	6.02E-01
14	36.6	1.67E+00	9.78E-01	9.26E-01	6.25E-01	5.43E-01
15	69.7	1.62E+00	1.56E+00	1.70E+00	1.92E+00	9.89E-01
16	59.1	1.57E+00	1.41E+00	1.42E+00	9.71E-01	8.03E-01
17	48	1.52E+00	1.22E+00	7.98E-01	9.22E-01	8.47E-01
18	28.7	1.46E+00	8.10E-01	4.86E-01	3.10E-01	2.32E-01
19	26.1	1.40E+00	1.59E+00	1.88E+00	1.19E+00	6.80E-01
20	30.3	1.34E+00	1.65E+00	8.46E-01	9.12E-01	7.18E-01
21	33.2	1.27E+00	1.77E+00	1.59E+00	1.76E+00	2.15E+00
22	34.8	1.21E+00	1.39E+00	1.75E+00	1.63E+00	1.45E+00
23	43.3	1.15E+00	1.24E+00	1.06E+00	1.27E+00	9.33E-01
24	55	1.09E+00	5.62E-01	5.77E-01	7.38E-01	8.56E-01
25	15.8	1.03E+00	6.32E-01	7.74E-01	8.16E-01	9.92E-01
26	0	9.70E-01	8.29E-01	9.89E-01	1.32E+00	1.82E+00
27	0	9.14E-01	9.50E-01	9.09E-01	1.27E+00	1.57E+00
28	0	9.04E-01	6.10E-01	6.26E-01	9.24E-01	9.11E-01
29	41.8	8.93E-01	6.63E-01	9.12E-01	1.19E+00	1.19E+00
30	60	8.80E-01	1.07E+00	6.51E-01	7.32E-01	5.62E-01
31	44.8	8.64E-01	8.20E-01	8.19E-01	9.01E-01	1.06E+00
32	34.3	8.46E-01	9.67E-01	1.45E+00	1.33E+00	1.96E+00
33	26.5	8.26E-01	1.22E+00	1.26E+00	9.92E-01	5.85E-01
34	25.1	8.03E-01	9.60E-01	6.62E-01	8.17E-01	1.08E+00
35	24.3	7.79E-01	7.12E-01	9.99E-01	6.99E-01	7.64E-01
36	26.2	7.53E-01	1.01E+00	6.17E-01	3.12E-01	3.08E-01
37	27	7.37E-01	3.94E-01	5.63E-01	8.25E-01	9.87E-01
38	26.4	7.57E-01	5.75E-01	8.05E-01	1.15E+00	1.44E+00
39	26.2	7.97E-01	5.56E-01	4.27E-01	4.39E-01	5.40E-01
40	28.3	8.48E-01	9.12E-01	9.56E-01	8.24E-01	4.61E-01
41	27.6	9.05E-01	5.95E-01	7.08E-01	9.23E-01	8.78E-01
42	26.4	9.77E-01	5.15E-01	5.26E-01	5.34E-01	7.73E-01
43	23.2	1.09E+00	6.39E-01	3.81E-01	2.72E-01	2.09E-01
44	18.8	1.19E+00	7.72E-01	9.59E-01	7.38E-01	9.16E-01
45	20.7	1.27E+00	1.01E+00	9.62E-01	1.04E+00	1.08E+00
46	26.7	1.34E+00	1.65E+00	2.02E+00	2.85E+00	1.80E+00
47	28.4	1.40E+00	1.74E+00	1.84E+00	2.14E+00	2.43E+00
48	29.8	1.45E+00	1.05E+00	7.06E-01	8.39E-01	5.88E-01
49	30.5	1.54E+00	1.47E+00	1.43E+00	1.31E+00	1.52E+00
50	26.5	1.61E+00	2.09E+00	3.08E+00	3.83E+00	2.27E+00
51	24.2	1.67E+00	1.33E+00	9.40E-01	9.55E-01	7.12E-01
